ticker,earnings_date,session,friday_amc,reaction_date,prev_close,open_t,gap,eps_estimate,reported_eps,surprise_pct
NAVI,2018-07-24 16:00:00-04:00,amc,False,2018-07-25,9.767874717712402,9.421495257729129,-0.035461087492775926,0.47,0.49,3.92
NAVI,2018-04-24 16:00:00-04:00,amc,False,2018-04-25,9.246620178222656,9.315113265932736,0.0074073646791929515,0.42,0.4,-4.58
NAVI,2018-01-23 16:00:00-05:00,amc,False,2018-01-24,9.091874122619629,8.976875422632851,-0.01264851431463103,0.42,0.43,3.5
NAVI,2017-10-17 16:00:00-04:00,amc,False,2017-10-18,8.15011978149414,8.270369377689928,0.014754334834296409,0.5,0.55,9.51
NAVI,2017-07-18 16:00:00-04:00,amc,False,2017-07-19,10.826244354248047,11.169512493257022,0.03170703780339875,0.41,0.43,3.75
NAVI,2017-04-18 16:00:00-04:00,amc,False,2017-04-19,9.826772689819336,9.859419733433157,0.003322254889201175,0.42,0.36,-13.78
NAVI,2017-01-24 16:00:00-05:00,amc,False,2017-01-25,10.474288940429688,9.815204530718825,-0.06292402409932228,0.44,0.43,-1.31
NAVI,2016-10-18 16:00:00-04:00,amc,False,2016-10-19,8.71241569519043,8.962074605411042,0.028655532398256977,0.48,0.5,4.57
NAVI,2016-07-19 16:00:00-04:00,amc,False,2016-07-20,8.716962814331055,8.86256358409526,0.01670315370909146,0.44,0.47,5.72
NAVI,2016-04-19 16:00:00-04:00,amc,False,2016-04-20,8.102198600769043,7.9708149122147836,-0.0162158069714298,0.41,0.43,3.83
NAVI,2016-01-26 16:00:00-05:00,amc,False,2016-01-27,5.82594633102417,5.597839386238386,-0.03915362961225292,0.49,0.48,-2.07
NAVI,2015-10-20 16:00:00-04:00,amc,False,2015-10-21,7.702974319458008,7.800327462472903,0.012638383431835843,0.47,0.47,-1.02
NAVI,2015-07-21 16:00:00-04:00,amc,False,2015-07-22,9.969415664672852,10.011451714450049,0.004216500865357028,0.4,0.4,0.5
NAVI,2015-04-21 16:00:00-04:00,amc,False,2015-04-22,12.227849960327148,12.215942974077503,-0.0009737595970082294,0.5,0.48,-3.93
NAVI,2015-01-21 16:00:00-05:00,amc,False,2015-01-22,11.793478965759277,11.817114234874722,0.0020040964319406364,0.54,0.53,-0.93
NBR,2024-10-22 16:00:00-04:00,amc,False,2024-10-23,71.41999816894531,72.41000366210938,0.01386174066851957,-1.9,-6.86,-261.32
NBR,2024-07-23 16:00:00-04:00,amc,False,2024-07-24,81.0,84.45999908447266,0.042716038079909334,-1.63,-4.29,-163.6
NBR,2024-04-24 16:00:00-04:00,amc,False,2024-04-25,80.12999725341797,81.0,0.010857391443937945,-2.02,-4.54,-124.2
NBR,2024-02-06 16:00:00-05:00,amc,False,2024-02-07,81.27999877929688,81.79000091552734,0.006274632675811177,-0.82,-2.7,-227.51
NBR,2023-10-25 17:00:00-04:00,amc,False,2023-10-26,113.51000213623047,108.70999908447266,-0.04228704925929812,-0.03,-6.26,-23522.64
NBR,2023-07-25 16:00:00-04:00,amc,False,2023-07-26,117.2300033569336,112.04000091552734,-0.04427196359966057,2.19,0.5,-77.07
NBR,2023-04-24 16:00:00-04:00,amc,False,2023-04-25,120.36000061035156,117.94999694824219,-0.020023293867465323,1.16,4.11,253.57
NBR,2023-02-07 16:00:00-05:00,amc,False,2023-02-08,176.17999267578125,177.2100067138672,0.005846373486809262,-0.47,-7.87,-1586.2
NBR,2022-10-25 16:00:00-04:00,amc,False,2022-10-26,137.42999267578125,149.2899932861328,0.086298488266176,-4.39,-1.8,59.04
NBR,2022-08-03 16:00:00-04:00,amc,False,2022-08-04,133.13999938964844,133.0,-0.0010515201313672409,-7.99,-9.41,-17.81
NBR,2022-02-08 16:00:00-05:00,amc,False,2022-02-09,112.97000122070312,108.0199966430664,-0.04381698259847031,-12.35,-14.6,-18.25
NBR,2021-10-26 16:00:00-04:00,amc,False,2021-10-27,122.29000091552734,120.0,-0.018725986576033943,-14.06,-15.79,-12.29
NBR,2021-07-27 16:00:00-04:00,amc,False,2021-07-28,87.30000305175781,85.76000213623047,-0.017640330603589084,-15.96,-13.43,15.84
NBR,2021-04-28 16:00:00-04:00,amc,False,2021-04-29,92.0,90.13999938964844,-0.02021739793860394,-20.7,-15.11,27.0
NBR,2021-02-23 16:00:00-05:00,amc,False,2021-02-24,88.08999633789062,89.69999694824219,0.018276770090624287,-26.41,-16.46,37.66
NBR,2020-11-03 16:00:00-05:00,amc,False,2020-11-04,31.549999237060547,30.389999389648438,-0.03676703250279331,-24.63,-23.42,4.92
NBR,2020-07-28 16:00:00-04:00,amc,False,2020-07-29,41.54999923706055,43.72999954223633,0.05246691564873312,-26.9,-22.13,17.74
NBR,2020-05-05 17:00:00-04:00,amc,False,2020-05-06,12.220000267028809,12.050000190734863,-0.013911626233972204,-15.75,-56.73,-260.26
NBR,2020-02-20 16:00:00-05:00,amc,False,2020-02-21,113.8522720336914,109.94318588920261,-0.034334722308677436,-13.72,-38.5,-180.55
NBR,2019-10-29 17:00:00-04:00,amc,False,2019-10-30,87.10448455810547,88.07771947144201,0.011173189512272665,-11.2,-18.5,-65.14
NBR,2019-07-29 18:00:00-04:00,amc,False,2019-07-30,101.72930145263672,96.88505284926471,-0.047619009805423676,-11.99,-30.5,-154.3
NBR,2019-04-30 16:00:00-04:00,amc,False,2019-05-01,169.54884338378906,160.82919101347278,-0.05142855708297912,-12.96,-18.0,-38.86
NBR,2019-02-26 18:00:00-05:00,amc,False,2019-02-27,148.7185516357422,143.87430672225256,-0.03257323891477029,-8.21,-27.5,-235.04
NBR,2018-10-30 17:00:00-04:00,amc,False,2018-10-31,225.30819702148438,222.9365521129708,-0.01052622558728939,-10.29,-17.5,-70.15
NBR,2018-07-31 17:00:00-04:00,amc,False,2018-08-01,280.7269592285156,276.9713943457491,-0.01337799865423484,-10.87,-30.5,-180.71
NBR,2018-05-01 19:00:00-04:00,amc,False,2018-05-02,339.38787841796875,333.33568867678366,-0.01783266323298557,-13.54,-23.0,-69.93
NBR,2018-02-27 17:00:00-05:00,amc,False,2018-02-28,307.467041015625,307.00538529126317,-0.001501480363023276,-16.96,-20.0,-17.93
NBR,2017-10-24 16:00:00-04:00,amc,False,2017-10-25,293.91937255859375,286.60563900095065,-0.024883468870991444,-16.4,-26.0,-58.54
NBR,2017-08-02 18:00:00-04:00,amc,False,2017-08-03,351.5148010253906,352.88604490878436,0.0039009563164729543,-17.46,-19.0,-8.82
NBR,2017-04-26 18:00:00-04:00,amc,False,2017-04-27,536.6427612304688,503.73115864975193,-0.06132869938514361,-17.53,-26.0,-48.33
NBR,2017-02-22 18:00:00-05:00,amc,False,2017-02-23,702.5713500976562,717.1324147609686,0.020725389188284378,-17.32,-59.0,-240.66
NBR,2016-10-25 18:00:00-04:00,amc,False,2016-10-26,578.9796752929688,564.9246007395451,-0.02427559231040651,-17.81,-19.5,-9.51
